﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0Wl42CUb1phIU9O2aR1wXI","Disarm","The Smashing Pumpkins","(Rotten Apples) The Smashing Pumpkins Greatest Hits","1","6","198466","spotify:user:tn.leprechaun","2013-11-04T19:24:15Z"
"spotify:track:0tAZJmgBJBX1W0eAtJ7r7Q","All About Us","t.A.T.u.","t.A.T.u. - The Best","1","1","181546","spotify:user:tn.leprechaun","2013-11-04T19:44:10Z"
"spotify:track:2yVvXAQIuYpd6PIetGYppQ","All The Things She Said - Original Album Version (Edited)","t.A.T.u.","t.A.T.u. - The Best","1","2","212266","spotify:user:tn.leprechaun","2013-11-04T19:44:10Z"
"spotify:track:4S5b3wwIXpVNvY2jeIQdKu","SOS","Rihanna","A Girl Like Me","1","1","238920","spotify:user:tn.leprechaun","2013-11-04T20:06:10Z"
"spotify:track:5bXd8zA39HyVPdfcFqR3lK","Rehab","Rihanna","Good Girl Gone Bad: Reloaded","1","10","294720","spotify:user:tn.leprechaun","2013-11-04T20:07:22Z"
"spotify:track:3m7Fne4xA0bsKzEaWbNucr","Shut Up And Drive","Rihanna","Good Girl Gone Bad: Reloaded","1","5","212280","spotify:user:tn.leprechaun","2013-11-04T20:07:50Z"
"spotify:track:01BvT9GPtThEzcMxkptkgN","Disturbia","Rihanna","Good Girl Gone Bad: Reloaded","1","13","238626","spotify:user:tn.leprechaun","2013-11-04T20:08:22Z"
"spotify:track:6xy6jNeNTYwjnKTDzMyHw2","Zombie","The Cranberries","No Need To Argue (The Complete Sessions 1994-1995)","1","4","306364","spotify:user:tn.leprechaun","2013-11-12T21:54:16Z"
"spotify:track:6AnfqcIa7IyrCMtgh5P6Wc","Like Toy Soldiers","Eminem","Curtain Call (Deluxe)","1","10","295666","spotify:user:tn.leprechaun","2014-01-04T15:32:42Z"
"spotify:track:7BMO7O7ImjV8HNTH74Tshv","Cleanin' Out My Closet","Eminem","The Eminem Show","1","4","297840","spotify:user:tn.leprechaun","2014-01-04T15:34:55Z"
"spotify:track:3ZffCQKLFLUvYM59XKLbVm","Wake Me up When September Ends","Green Day","American Idiot","1","7","285653","spotify:user:tn.leprechaun","2014-01-17T09:20:53Z"
"spotify:track:15f8Cv8RXUlOOCIf2oaceN","Underneath Your Clothes","Shakira","Laundry Service","1","2","224066","spotify:user:tn.leprechaun","2014-04-14T12:06:40Z"
"spotify:track:53968oKecrFxkErocab2Al","November Rain","Guns N' Roses","Use Your Illusion I","1","10","537506","spotify:user:tn.leprechaun","2014-04-21T21:36:51Z"
"spotify:track:2kA0IBd1u0Be6QJE60Ty6F","Behind Blue Eyes","Limp Bizkit","Results May Vary (EU Version)","1","15","269973","spotify:user:tn.leprechaun","2014-04-22T11:13:52Z"
"spotify:track:4EC81x7yH6ncvo3Fox53C8","Family","Noah Gundersen","Family","1","7","214840","spotify:user:tn.leprechaun","2014-04-22T11:27:07Z"
"spotify:track:0Oig1tZhhSlDQtJVRuiu5w","Closure - Bonus Track","Evergrey","Monday Morning Apocalypse","1","12","188666","spotify:user:tn.leprechaun","2014-04-22T11:27:07Z"
"spotify:track:5izCpY40N92kqYLo3HGFRw","Your Arms Feel Like home","3 Doors Down","3 Doors Down","1","9","224213","spotify:user:tn.leprechaun","2014-04-22T11:27:07Z"
"spotify:track:2p0Jktj9OUYxaxKNKC4Eip","Landing In London","3 Doors Down, Bob Seger","Seventeen Days (International Version)","1","5","271373","spotify:user:tn.leprechaun","2014-04-22T11:27:07Z"
